Product id,Data S2 Name,Group,id,Product_details,Country,Weight,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys
1,41,5,1,125,1,0.009000000000000001,7.78,7.78,0.0,220.91,3.67,15.35,13.94,9.22,124.33,0
1,41,5,7,125,20,0.011000000000000001,1.31,1.31,0.0,2.11,0.65,5.27,0.62,2.19,2.73,0
1,41,5,8,125,20,0.0,1.99,1.99,0.0,3.23,0.42,3.41,0.29,2.19,2.73,2
1,41,5,9,125,20,0.011000000000000001,1.38,1.38,0.0,2.23,0.7,7.28,9.43,16.43,26.48,0
1,41,5,11,124,41,0.0,2.5,2.5,0.0,1.16,1.83,6.41,5.53,2.19,1.4,0
1,41,5,15,125,50,0.001,1.82,1.82,0.0,15.92,0.74,7.62,10.18,8.19,14.54,0
1,41,5,17,123,1,0.013000000000000001,5.08,5.08,0.0,63.39,0.67,8.44,1.43,2.19,55.88,0
1,41,5,18,123,1,0.004,8.65,8.65,0.0,75.2,0.68,9.52,1.86,2.19,55.88,0
1,41,5,19,123,1,0.001,7.69,7.69,0.0,66.86,0.65,8.37,1.6,2.19,55.88,0
1,41,5,20,123,1,0.009000000000000001,8.34,8.34,0.0,236.71,0.72,7.77,1.98,2.19,55.88,0
1,41,5,21,123,1,0.009000000000000001,5.77,5.77,0.0,163.82,0.76,7.75,5.37,2.19,55.88,0
1,41,5,22,123,1,0.009000000000000001,9.36,9.36,0.0,265.66,0.77,15.54,4.71,2.19,55.88,0
1,41,5,23,123,1,0.009000000000000001,8.38,8.38,0.0,237.85,0.9,14.3,4.3,2.19,55.88,0
1,41,5,24,123,1,0.009000000000000001,5.63,5.63,0.0,159.89,0.87,15.1,4.51,2.19,55.88,0
1,41,5,25,123,1,0.036000000000000004,11.86,11.86,0.0,147.96,1.22,4.18,4.06,2.19,55.88,0
1,41,5,26,123,1,0.013000000000000001,5.02,5.02,0.0,62.59,0.86,19.71,7.53,2.19,55.88,0
1,41,5,28,123,1,0.009000000000000001,8.63,8.63,0.0,245.07,0.92,14.19,4.63,2.19,55.88,0
1,41,5,29,123,1,0.001,6.03,6.03,0.0,52.4,1.05,15.55,4.75,2.19,55.88,0
1,41,5,33,123,1,0.009000000000000001,8.95,8.95,0.0,254.13,0.94,14.55,0.17,2.19,55.88,0
1,41,5,34,123,1,0.046,11.18,11.18,0.0,44.15,0.92,9.49,1.16,2.19,55.88,0
1,41,5,35,123,1,0.013000000000000001,2.98,2.98,0.0,84.65,0.71,9.89,0.36,2.19,55.88,0
1,41,5,36,123,1,0.001,3.97,3.97,0.0,34.52,1.03,18.0,7.03,2.19,55.88,0
1,41,5,37,123,1,0.001,3.82,3.82,0.0,33.22,0.86,11.43,5.65,2.19,55.88,0
1,41,5,38,123,1,0.004,3.82,3.82,0.0,33.22,0.95,17.58,6.15,2.19,55.88,0
1,41,5,39,123,1,0.004,3.56,3.56,0.0,30.9,0.75,10.78,4.66,2.19,55.88,0
1,41,5,41,123,4,0.002,2.72,2.72,0.0,4.43,1.03,7.14,3.49,2.19,2.56,0
1,41,5,50,123,9,0.005,3.87,3.87,0.0,78.7,1.31,18.09,4.91,2.2,86.39,0
1,41,5,51,123,9,0.0,9.75,9.75,0.0,198.23,1.09,4.71,0.58,2.2,86.39,2
1,41,5,55,136,10,0.003,0.73,0.73,0.0,2.93,1.17,16.02,5.5,1255.45,119559.54,0
1,41,5,56,136,10,0.004,0.78,0.78,0.0,3.1,2.01,23.52,5.08,800.71,76200.18,0
1,41,5,57,136,10,0.006999999999999999,0.84,0.84,0.0,3.34,2.23,26.17,5.74,936.26,89124.77,0
1,41,5,58,136,10,0.006999999999999999,0.69,0.69,0.0,2.76,1.28,16.34,5.16,391.57,38998.44,0
1,41,5,61,123,10,0.019,1.15,1.15,0.0,5.24,1.73,24.61,7.67,2.19,60.72,0
1,41,5,62,123,10,0.019,1.09,1.09,0.0,4.96,1.45,18.42,5.63,2.19,60.72,0
1,41,5,63,123,10,0.006999999999999999,6.99,6.99,0.0,27.92,1.46,15.77,8.11,1033.73,93494.57,0
1,41,5,64,123,10,0.006999999999999999,6.48,6.48,0.0,25.88,1.3,15.87,8.4,1033.69,93490.84,0
1,41,5,65,136,10,0.006999999999999999,0.76,0.76,0.0,3.04,1.68,20.98,6.43,456.37,43367.12,0
1,41,5,66,136,10,0.006999999999999999,0.69,0.69,0.0,2.75,1.56,20.21,6.17,436.35,41458.2,0
1,41,5,67,136,10,0.006999999999999999,0.87,0.87,0.0,3.46,1.43,18.92,5.72,402.45,38225.92,0
1,41,5,68,136,10,0.006999999999999999,0.41,0.41,0.0,1.65,1.6,20.79,6.37,451.38,42891.3,0
1,41,5,72,136,14,0.0,5.12,5.12,0.0,122.14,1.27,7.94,1.79,711.91,35533.54,0
1,41,5,76,123,16,0.008,1.53,1.53,0.0,2.28,1.1,15.21,6.75,2.19,10.6,0
1,41,5,77,123,16,0.0,2.53,2.53,0.0,3.77,1.3,27.6,13.42,2.19,10.6,2
1,41,5,91,136,19,0.002,1.32,1.32,0.0,2.17,0.98,8.07,6.78,59.25,239.85,0
1,41,5,92,136,19,0.002,0.99,0.99,0.0,1.62,0.97,8.02,3.97,57.92,234.36,0
1,41,5,93,136,19,0.002,1.07,1.07,0.0,1.75,0.98,8.1,4.01,62.72,254.11,0
1,41,5,94,136,19,0.002,1.19,1.19,0.0,1.95,0.89,7.14,5.83,53.68,216.95,0
